country,2010,2020,changes
brazil,511580.7,496619.6,14961
congo,137169.0,126155.24,11013
indonesia,99659.2,92133.2,7526
angola,72158.0,66607.38,5550
tanzania,49950.01,45745.0,4205
myanmar,31441.0,28543.89,2897
colombia,60807.79,59141.91,1665
argentina,30214.0,28573.0,1641
nigeria,23259.98,21626.95,1633
venezuela,47505.0,46230.9,1274



